"","max_depth","min_split","cp","minbucket","ganancia_promedio"
"181",4,200,0.5,100,0
"182",4,200,1,100,0
"183",4,200,1.5,100,0
"184",4,200,2,100,0
"185",4,200,-1.5,50,47362000
"186",4,200,-1,50,47362000
"187",4,200,-0.5,50,47362000
"188",4,200,0,50,0
"189",4,200,0.5,50,0
"190",4,200,1,50,0
"191",4,200,1.5,50,0
"192",4,200,2,50,0
"193",4,200,-1.5,40,47368000
"194",4,200,-1,40,47368000
"195",4,200,-0.5,40,47368000
"196",4,200,0,40,7476000
"197",4,200,0.5,40,0
"198",4,200,1,40,0
"199",4,200,1.5,40,0
"200",4,200,2,40,0
"201",4,100,-1.5,80,47270000
"202",4,100,-1,80,47270000
"203",4,100,-0.5,80,47270000
"204",4,100,0,80,0
"205",4,100,0.5,80,0
"206",4,100,1,80,0
"207",4,100,1.5,80,0
"208",4,100,2,80,0
"209",4,100,-1.5,75,47298000
"210",4,100,-1,75,47298000
"211",4,100,-0.5,75,47298000
"212",4,100,0,75,0
"213",4,100,0.5,75,0
"214",4,100,1,75,0
"215",4,100,1.5,75,0
"216",4,100,2,75,0
"217",4,100,-1.5,50,47362000
"218",4,100,-1,50,47362000
"219",4,100,-0.5,50,47362000
"220",4,100,0,50,0
"221",4,100,0.5,50,0
"222",4,100,1,50,0
"223",4,100,1.5,50,0
"224",4,100,2,50,0
"225",4,100,-1.5,25,47238000
"226",4,100,-1,25,47238000
"227",4,100,-0.5,25,47238000
"228",4,100,0,25,7476000
"229",4,100,0.5,25,0
"230",4,100,1,25,0
"231",4,100,1.5,25,0
"232",4,100,2,25,0
"233",4,100,-1.5,20,47254000
"234",4,100,-1,20,47254000
"235",4,100,-0.5,20,47254000
"236",4,100,0,20,15976000
"237",4,100,0.5,20,0
"238",4,100,1,20,0
"239",4,100,1.5,20,0
"240",4,100,2,20,0
"241",4,50,-1.5,40,47386000
"242",4,50,-1,40,47386000
"243",4,50,-0.5,40,47386000
"244",4,50,0,40,14808000
"245",4,50,0.5,40,0
"246",4,50,1,40,0
"247",4,50,1.5,40,0
"248",4,50,2,40,0
"249",4,50,-1.5,37,47392000
"250",4,50,-1,37,47392000
"251",4,50,-0.5,37,47392000
"252",4,50,0,37,14808000
"253",4,50,0.5,37,0
"254",4,50,1,37,0
"255",4,50,1.5,37,0
"256",4,50,2,37,0
"257",4,50,-1.5,25,47326000
"258",4,50,-1,25,47326000
"259",4,50,-0.5,25,47326000
"260",4,50,0,25,14808000
"261",4,50,0.5,25,0
"262",4,50,1,25,0
"263",4,50,1.5,25,0
"264",4,50,2,25,0
"265",4,50,-1.5,12,47228000
"266",4,50,-1,12,47228000
"267",4,50,-0.5,12,47228000
"268",4,50,0,12,30782000
"269",4,50,0.5,12,0
"270",4,50,1,12,0
"271",4,50,1.5,12,0
"272",4,50,2,12,0
"273",4,50,-1.5,10,46750000
"274",4,50,-1,10,46750000
"275",4,50,-0.5,10,46750000
"276",4,50,0,10,30672000
"277",4,50,0.5,10,0
"278",4,50,1,10,0
"279",4,50,1.5,10,0
"280",4,50,2,10,0
"281",4,20,-1.5,16,47228000
"282",4,20,-1,16,47228000
"283",4,20,-0.5,16,47228000
"284",4,20,0,16,30782000
"285",4,20,0.5,16,0
"286",4,20,1,16,0
"287",4,20,1.5,16,0
"288",4,20,2,16,0
"289",4,20,-1.5,15,47228000
"290",4,20,-1,15,47228000
"291",4,20,-0.5,15,47228000
"292",4,20,0,15,30782000
"293",4,20,0.5,15,0
"294",4,20,1,15,0
"295",4,20,1.5,15,0
"296",4,20,2,15,0
"297",4,20,-1.5,10,46750000
"298",4,20,-1,10,46750000
"299",4,20,-0.5,10,46750000
"300",4,20,0,10,30672000
"301",4,20,0.5,10,0
"302",4,20,1,10,0
"303",4,20,1.5,10,0
"304",4,20,2,10,0
"305",4,20,-1.5,5,46330000
"306",4,20,-1,5,46330000
"307",4,20,-0.5,5,46330000
"308",4,20,0,5,38410000
"309",4,20,0.5,5,0
"310",4,20,1,5,0
"311",4,20,1.5,5,0
"312",4,20,2,5,0
"313",4,20,-1.5,4,46330000
"314",4,20,-1,4,46330000
"315",4,20,-0.5,4,46330000
"316",4,20,0,4,38410000
"317",4,20,0.5,4,0
"318",4,20,1,4,0
"319",4,20,1.5,4,0
"320",4,20,2,4,0
"321",4,10,-1.5,8,46750000
"322",4,10,-1,8,46750000
"323",4,10,-0.5,8,46750000
"324",4,10,0,8,30672000
"325",4,10,0.5,8,0
"326",4,10,1,8,0
"327",4,10,1.5,8,0
"328",4,10,2,8,0
"329",4,10,-1.5,7,46528000
"330",4,10,-1,7,46528000
"331",4,10,-0.5,7,46528000
"332",4,10,0,7,30672000
"333",4,10,0.5,7,0
"334",4,10,1,7,0
"335",4,10,1.5,7,0
"336",4,10,2,7,0
"337",4,10,-1.5,5,46330000
"338",4,10,-1,5,46330000
"339",4,10,-0.5,5,46330000
"340",4,10,0,5,38410000
"341",4,10,0.5,5,0
"342",4,10,1,5,0
"343",4,10,1.5,5,0
"344",4,10,2,5,0
"345",4,10,-1.5,2,46330000
"346",4,10,-1,2,46330000
"347",4,10,-0.5,2,46330000
"348",4,10,0,2,38410000
"349",4,10,0.5,2,0
"350",4,10,1,2,0
"351",4,10,1.5,2,0
"352",4,10,2,2,0
"353",6,1000,-1.5,800,49760000
"354",6,1000,-1,800,49760000
"355",6,1000,-0.5,800,49760000
"356",6,1000,0,800,0
"357",6,1000,0.5,800,0
"358",6,1000,1,800,0
"359",6,1000,1.5,800,0
"360",6,1000,2,800,0
"361",6,1000,-1.5,750,49840000
"362",6,1000,-1,750,49840000
"363",6,1000,-0.5,750,49840000
"364",6,1000,0,750,0
"365",6,1000,0.5,750,0
"366",6,1000,1,750,0
"367",6,1000,1.5,750,0
"368",6,1000,2,750,0
"369",6,1000,-1.5,500,49582000
"370",6,1000,-1,500,49582000
"371",6,1000,-0.5,500,49582000
"372",6,1000,0,500,0
"373",6,1000,0.5,500,0
"374",6,1000,1,500,0
"375",6,1000,1.5,500,0
"376",6,1000,2,500,0
"377",6,1000,-1.5,250,49894000
"378",6,1000,-1,250,49894000
"379",6,1000,-0.5,250,49894000
"380",6,1000,0,250,0
"381",6,1000,0.5,250,0
"382",6,1000,1,250,0
"383",6,1000,1.5,250,0
"384",6,1000,2,250,0
"385",6,1000,-1.5,200,50276000
"386",6,1000,-1,200,50276000
"387",6,1000,-0.5,200,50276000
"388",6,1000,0,200,0
"389",6,1000,0.5,200,0
"390",6,1000,1,200,0
"391",6,1000,1.5,200,0
"392",6,1000,2,200,0
"393",6,800,-1.5,640,50294000
"394",6,800,-1,640,50294000
"395",6,800,-0.5,640,50294000
"396",6,800,0,640,0
"397",6,800,0.5,640,0
"398",6,800,1,640,0
"399",6,800,1.5,640,0
"400",6,800,2,640,0
"401",6,800,-1.5,600,50248000
"402",6,800,-1,600,50248000
"403",6,800,-0.5,600,50248000
"404",6,800,0,600,0
"405",6,800,0.5,600,0
"406",6,800,1,600,0
"407",6,800,1.5,600,0
"408",6,800,2,600,0
"409",6,800,-1.5,400,49374000
"410",6,800,-1,400,49374000
"411",6,800,-0.5,400,49374000
"412",6,800,0,400,0
"413",6,800,0.5,400,0
"414",6,800,1,400,0
"415",6,800,1.5,400,0
"416",6,800,2,400,0
"417",6,800,-1.5,200,50052000
"418",6,800,-1,200,50052000
"419",6,800,-0.5,200,50052000
"420",6,800,0,200,0
"421",6,800,0.5,200,0
"422",6,800,1,200,0
"423",6,800,1.5,200,0
"424",6,800,2,200,0
"425",6,800,-1.5,160,49880000
"426",6,800,-1,160,49880000
"427",6,800,-0.5,160,49880000
"428",6,800,0,160,0
"429",6,800,0.5,160,0
"430",6,800,1,160,0
"431",6,800,1.5,160,0
"432",6,800,2,160,0
"433",6,600,-1.5,480,49486000
"434",6,600,-1,480,49486000
"435",6,600,-0.5,480,49486000
"436",6,600,0,480,0
"437",6,600,0.5,480,0
"438",6,600,1,480,0
"439",6,600,1.5,480,0
"440",6,600,2,480,0
"441",6,600,-1.5,450,49364000
"442",6,600,-1,450,49364000
"443",6,600,-0.5,450,49364000
"444",6,600,0,450,0
"445",6,600,0.5,450,0
"446",6,600,1,450,0
"447",6,600,1.5,450,0
"448",6,600,2,450,0
"449",6,600,-1.5,300,49210000
"450",6,600,-1,300,49210000
"451",6,600,-0.5,300,49210000
"452",6,600,0,300,0
"453",6,600,0.5,300,0
"454",6,600,1,300,0
"455",6,600,1.5,300,0
"456",6,600,2,300,0
"457",6,600,-1.5,150,48938000
"458",6,600,-1,150,48938000
"459",6,600,-0.5,150,48938000
"460",6,600,0,150,0
"461",6,600,0.5,150,0
"462",6,600,1,150,0
"463",6,600,1.5,150,0
"464",6,600,2,150,0
"465",6,600,-1.5,120,49950000
"466",6,600,-1,120,49950000
"467",6,600,-0.5,120,49950000
"468",6,600,0,120,0
"469",6,600,0.5,120,0
"470",6,600,1,120,0
"471",6,600,1.5,120,0
"472",6,600,2,120,0
"473",6,400,-1.5,320,49234000
"474",6,400,-1,320,49234000
"475",6,400,-0.5,320,49234000
"476",6,400,0,320,0
"477",6,400,0.5,320,0
"478",6,400,1,320,0
"479",6,400,1.5,320,0
"480",6,400,2,320,0
"481",6,400,-1.5,300,49210000
"482",6,400,-1,300,49210000
"483",6,400,-0.5,300,49210000
"484",6,400,0,300,0
"485",6,400,0.5,300,0
"486",6,400,1,300,0
"487",6,400,1.5,300,0
"488",6,400,2,300,0
"489",6,400,-1.5,200,50348000
"490",6,400,-1,200,50348000
"491",6,400,-0.5,200,50348000
"492",6,400,0,200,0
"493",6,400,0.5,200,0
"494",6,400,1,200,0
"495",6,400,1.5,200,0
"496",6,400,2,200,0
"497",6,400,-1.5,100,49632000
"498",6,400,-1,100,49632000
"499",6,400,-0.5,100,49632000
"500",6,400,0,100,0
"501",6,400,0.5,100,0
"502",6,400,1,100,0
"503",6,400,1.5,100,0
"504",6,400,2,100,0
"505",6,400,-1.5,80,49236000
"506",6,400,-1,80,49236000
"507",6,400,-0.5,80,49236000
"508",6,400,0,80,0
"509",6,400,0.5,80,0
"510",6,400,1,80,0
"511",6,400,1.5,80,0
"512",6,400,2,80,0
"513",6,200,-1.5,160,49606000
"514",6,200,-1,160,49606000
"515",6,200,-0.5,160,49606000
"516",6,200,0,160,0
"517",6,200,0.5,160,0
"518",6,200,1,160,0
"519",6,200,1.5,160,0
"520",6,200,2,160,0
"521",6,200,-1.5,150,48980000
"522",6,200,-1,150,48980000
"523",6,200,-0.5,150,48980000
"524",6,200,0,150,0
"525",6,200,0.5,150,0
"526",6,200,1,150,0
"527",6,200,1.5,150,0
"528",6,200,2,150,0
"529",6,200,-1.5,100,49560000
"530",6,200,-1,100,49560000
"531",6,200,-0.5,100,49560000
"532",6,200,0,100,0
"533",6,200,0.5,100,0
"534",6,200,1,100,0
"535",6,200,1.5,100,0
"536",6,200,2,100,0
"537",6,200,-1.5,50,47372000
"538",6,200,-1,50,47372000
"539",6,200,-0.5,50,47372000
"540",6,200,0,50,0
"541",6,200,0.5,50,0
"542",6,200,1,50,0
"543",6,200,1.5,50,0
"544",6,200,2,50,0
"545",6,200,-1.5,40,47078000
"546",6,200,-1,40,47078000
"547",6,200,-0.5,40,47078000
"548",6,200,0,40,7476000
"549",6,200,0.5,40,0
"550",6,200,1,40,0
"551",6,200,1.5,40,0
"552",6,200,2,40,0
"553",6,100,-1.5,80,49304000
"554",6,100,-1,80,49304000
"555",6,100,-0.5,80,49304000
"556",6,100,0,80,0
"557",6,100,0.5,80,0
"558",6,100,1,80,0
"559",6,100,1.5,80,0
"560",6,100,2,80,0
"561",6,100,-1.5,75,48762000
"562",6,100,-1,75,48762000
"563",6,100,-0.5,75,48762000
"564",6,100,0,75,0
"565",6,100,0.5,75,0
"566",6,100,1,75,0
"567",6,100,1.5,75,0
"568",6,100,2,75,0
"569",6,100,-1.5,50,47106000
"570",6,100,-1,50,47106000
"571",6,100,-0.5,50,47106000
"572",6,100,0,50,15796000
"573",6,100,0.5,50,0
"574",6,100,1,50,0
"575",6,100,1.5,50,0
"576",6,100,2,50,0
"577",6,100,-1.5,25,47126000
"578",6,100,-1,25,47126000
"579",6,100,-0.5,25,47126000
"580",6,100,0,25,30790000
"581",6,100,0.5,25,0
"582",6,100,1,25,0
"583",6,100,1.5,25,0
"584",6,100,2,25,0
"585",6,100,-1.5,20,47302000
"586",6,100,-1,20,47302000
"587",6,100,-0.5,20,47302000
"588",6,100,0,20,31030000
"589",6,100,0.5,20,0
"590",6,100,1,20,0
"591",6,100,1.5,20,0
"592",6,100,2,20,0
"593",6,50,-1.5,40,46858000
"594",6,50,-1,40,46858000
"595",6,50,-0.5,40,46858000
"596",6,50,0,40,38122000
"597",6,50,0.5,40,0
"598",6,50,1,40,0
"599",6,50,1.5,40,0
"600",6,50,2,40,0
"601",6,50,-1.5,37,46840000
"602",6,50,-1,37,46840000
"603",6,50,-0.5,37,46840000
"604",6,50,0,37,38122000
"605",6,50,0.5,37,0
"606",6,50,1,37,0
"607",6,50,1.5,37,0
"608",6,50,2,37,0
"609",6,50,-1.5,25,46802000
"610",6,50,-1,25,46802000
