max_depth	min_split	cp	minbucket	ganancia_promedio
4	100	-1	25	47238000
4	100	-0.5	25	47238000
4	100	0	25	7476000
4	100	0.5	25	0
4	100	1	25	0
4	100	1.5	25	0
4	100	2	25	0
4	100	-1.5	20	47254000
4	100	-1	20	47254000
4	100	-0.5	20	47254000
4	100	0	20	15976000
4	100	0.5	20	0
4	100	1	20	0
4	100	1.5	20	0
4	100	2	20	0
4	50	-1.5	40	47386000
4	50	-1	40	47386000
4	50	-0.5	40	47386000
4	50	0	40	14808000
4	50	0.5	40	0
4	50	1	40	0
4	50	1.5	40	0
4	50	2	40	0
4	50	-1.5	37	47392000
4	50	-1	37	47392000
4	50	-0.5	37	47392000
4	50	0	37	14808000
4	50	0.5	37	0
4	50	1	37	0
4	50	1.5	37	0
4	50	2	37	0
4	50	-1.5	25	47326000
4	50	-1	25	47326000
4	50	-0.5	25	47326000
4	50	0	25	14808000
4	50	0.5	25	0
4	50	1	25	0
4	50	1.5	25	0
4	50	2	25	0
4	50	-1.5	12	47228000
4	50	-1	12	47228000
4	50	-0.5	12	47228000
4	50	0	12	30782000
4	50	0.5	12	0
4	50	1	12	0
4	50	1.5	12	0
4	50	2	12	0
4	50	-1.5	10	46750000
4	50	-1	10	46750000
4	50	-0.5	10	46750000
4	50	0	10	30672000
4	50	0.5	10	0
4	50	1	10	0
4	50	1.5	10	0
4	50	2	10	0
4	20	-1.5	16	47228000
4	20	-1	16	47228000
4	20	-0.5	16	47228000
4	20	0	16	30782000
4	20	0.5	16	0
4	20	1	16	0
4	20	1.5	16	0
4	20	2	16	0
4	20	-1.5	15	47228000
4	20	-1	15	47228000
4	20	-0.5	15	47228000
4	20	0	15	30782000
4	20	0.5	15	0
4	20	1	15	0
4	20	1.5	15	0
4	20	2	15	0
4	20	-1.5	10	46750000
4	20	-1	10	46750000
4	20	-0.5	10	46750000
4	20	0	10	30672000
4	20	0.5	10	0
4	20	1	10	0
4	20	1.5	10	0
4	20	2	10	0
4	20	-1.5	5	46330000
4	20	-1	5	46330000
4	20	-0.5	5	46330000
4	20	0	5	38410000
4	20	0.5	5	0
4	20	1	5	0
4	20	1.5	5	0
4	20	2	5	0
4	20	-1.5	4	46330000
4	20	-1	4	46330000
4	20	-0.5	4	46330000
4	20	0	4	38410000
4	20	0.5	4	0
4	20	1	4	0
4	20	1.5	4	0
4	20	2	4	0
4	10	-1.5	8	46750000
4	10	-1	8	46750000
4	10	-0.5	8	46750000
4	10	0	8	30672000
4	10	0.5	8	0
4	10	1	8	0
4	10	1.5	8	0
4	10	2	8	0
4	10	-1.5	7	46528000
4	10	-1	7	46528000
4	10	-0.5	7	46528000
4	10	0	7	30672000
4	10	0.5	7	0
4	10	1	7	0
4	10	1.5	7	0
4	10	2	7	0
4	10	-1.5	5	46330000
4	10	-1	5	46330000
4	10	-0.5	5	46330000
4	10	0	5	38410000
4	10	0.5	5	0
4	10	1	5	0
4	10	1.5	5	0
4	10	2	5	0
4	10	-1.5	2	46330000
4	10	-1	2	46330000
4	10	-0.5	2	46330000
4	10	0	2	38410000
4	10	0.5	2	0
4	10	1	2	0
4	10	1.5	2	0
4	10	2	2	0
6	1000	-1.5	800	49760000
6	1000	-1	800	49760000
6	1000	-0.5	800	49760000
6	1000	0	800	0
6	1000	0.5	800	0
6	1000	1	800	0
6	1000	1.5	800	0
6	1000	2	800	0
6	1000	-1.5	750	49840000
6	1000	-1	750	49840000
6	1000	-0.5	750	49840000
6	1000	0	750	0
6	1000	0.5	750	0
6	1000	1	750	0
6	1000	1.5	750	0
6	1000	2	750	0
6	1000	-1.5	500	49582000
